ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0043161	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	387	0.322027372391857	1.85815142215391	3.12827232613554e-08	1.59229061400299e-05	1.41625419855954e-05	7159	tags=63%, list=47%, signal=35%	SPSB2/UBXN8/AURKA/PEX12/TMEM129/FBXO6/ANAPC1/MAP1A/FBXO22/TRIB3/NHLRC1/EDEM2/HFE/JKAMP/UBXN10/KLHL20/KCTD5/KLHL22/COP1/ANAPC7/UBE3D/AMN1/TRIM39/AXIN2/SHARPIN/PSMD10/KCTD10/ANAPC13/RNF5/GID8/ARRB2/BCAP31/ANKZF1/MAN1B1/PSMD4/CDC20/CLGN/STYX/WFS1/UBR2/UCHL5/FAM8A1/KLHDC3/UBE4B/ANAPC4/FEM1A/DERL2/BFAR/CUL4A/PLK1/SKP2/FOXRED2/ERLIN1/SPSB3/DCAF12/TMEM67/FBXL8/DVL1/EDEM3/KLHDC10/UBXN11/KBTBD7/ZFAND2B/UBQLN4/SOCS5/CDC27/RMND5B/PEX10/TMUB2/APPBP2/PML/FBXL3/DESI1/DCAF13/RBCK1/VHL/MTM1/CCAR2/PSMD3/RNF4/NHLRC3/AXIN1/NSFL1C/MAPK9/FBXO44/XPO1/MAEA/PRKN/PSMD11/UBR1/KLHL42/PSMD14/RNF14/RNF126/NPLOC4/KLHDC2/DDRGK1/UBE2A/FBXL20/BAG5/RNF121/SYVN1/FBXO4/WWP1/ERLIN2/SH3BGRL/FBXL4/APC/PSMF1/KCTD17/RNF34/SHH/UBE2G1/DNAJB9/PLAA/SUMO1/MDM2/TRIM2/PSMA4/FBXW5/RNF185/TRIM38/PSMA1/KEAP1/NUB1/PPP2R5C/HSPA1A/PSMC5/HSPBP1/SVIP/MTA1/TLK2/USP14/PSMB5/TRIM25/CDC16/WDR26/FBXO2/CALR/FBXO7/UFL1/PSMC2/PSMC6/TRIP4/DAB2/OS9/CEBPA/CDC26/DDIT3/FHIT/FBXL18/PSMB4/TRAF4/AMFR/CBFA2T3/CANX/HSPA5/SIAH1/USP9X/FBXO38/AGAP3/TMUB1/CCDC47/CAMLG/GCLC/ANKRD9/HECTD1/ANAPC10/FBXO48/ARRB1/HSPA1B/EIF3H/PSMD13/RAD23B/HERC2/BAG6/RNF144A/PSEN1/FEM1B/PSMC1/VCP/MAN1A2/TAF9/UBE2J2/SIRT6/DNAJC10/NCCRP1/FBXL15/FBXL22/STUB1/SPSB1/SKP1/ZYG11B/FBXW11/FBXO45/KLHL15/KLHDC1/ANKIB1/RACK1/PSMB3/KCTD2/RNF103/DERL1/PSMD1/DCAF11/KCTD13/PSMB1/UBXN4/ARIH2/ASCC2/FBXW4/AUP1/HERPUD1/UBQLN1/KLHL3/SOCS4/WWP2/DDB1/RAD23A/KAT5/USP5/ZER1/CDC23/PSMD12/FBXL6/SIRT2/SH3RF3/NAGLU/PARK7/HECTD3/ANAPC5/PSMC3/CHFR/UBE2S/CUL1/ERCC8/PSMB7/UBXN2A/UBE2D3/CUL2/CSNK1D/ANAPC11/PCBP2/UBE2J1/UBE2D1
GO:0002399	GO:0002399	MHC class II protein complex assembly	14	0.821522091675929	2.55728922752512	4.08160623777855e-08	1.75791640964016e-05	1.56356915877978e-05	2541	tags=93%, list=17%, signal=78%	HLA-DQB2/HLA-DQA2/HLA-DMB/HLA-DRB5/HLA-DOB/HLA-DPA1/HLA-DQB1/HLA-DMA/HLA-DRB1/HLA-DOA/HLA-DQA1/HLA-DRA/HLA-DPB1
GO:0002503	GO:0002503	peptide antigen assembly with MHC class II protein complex	14	0.821522091675929	2.55728922752512	4.08160623777855e-08	1.75791640964016e-05	1.56356915877978e-05	2541	tags=93%, list=17%, signal=78%	HLA-DQB2/HLA-DQA2/HLA-DMB/HLA-DRB5/HLA-DOB/HLA-DPA1/HLA-DQB1/HLA-DMA/HLA-DRB1/HLA-DOA/HLA-DQA1/HLA-DRA/HLA-DPB1
GO:0070098	GO:0070098	chemokine-mediated signaling pathway	81	-0.439887573586421	-2.56595089434345	4.4424526873431e-08	1.77666375688814e-05	1.58024388449776e-05	3103	tags=49%, list=20%, signal=40%	CCL8/CCL16/CCL14/CCL25/GPR75/GPR17/CXCR1/CCR9/PF4/CCR8/XCR1/CCR3/PPBP/CCL26/CCL24/CCL11/MPL/CX3CR1/OXSR1/PADI2/CCRL2/CCL4/CCL3L1/PF4V1/ROBO1/CX3CL1/GPR35/CCR4/CCL21/CXCL8/CXCL2/ACKR4/CCL2/XCL2/CXCL1/CXCL3/ACKR3/CCL20/SLIT3/XCL1
GO:0007200	GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	82	-0.422530643638259	-2.46050519952842	4.89456966586391e-08	1.8269797039448e-05	1.62499712906682e-05	3625	tags=55%, list=24%, signal=42%	ACTN2/HTR2B/NMUR1/PTH1R/AGTR1/F2RL2/OPRM1/LPAR4/GPR174/GPR20/GRP/FFAR2/PTGER3/GPR17/CASR/NMUR2/VIP/CHRM2/CHRM1/HTR2A/OPRD1/LHCGR/P2RY12/DRD5/ADRA1B/GRM1/OPRK1/GRM5/GPR83/ADRA1D/FFAR1/ADRA1A/CX3CR1/GPR157/PLCE1/HRH1/P2RY1/ADRA2A/TACR1/GPR35/DRD1/ANO1/FFAR4/EDNRB/PTAFR
GO:0006399	GO:0006399	tRNA metabolic process	146	0.418694003856658	2.18143789699565	8.34178429875604e-08	2.89588180702614e-05	2.57572627236831e-05	6081	tags=65%, list=40%, signal=40%	GATB/PUSL1/THUMPD1/VARS2/TARS2/KTI12/NSUN3/TYW1B/TRMU/EARS2/ELP3/TRMT61B/DARS2/HARS2/EXOSC2/TRIT1/RPP25/PARS2/TRMT12/QRSL1/ELP6/YARS2/OSGEPL1/TRPT1/TSEN54/LRRC47/TRUB1/THG1L/TRMT1L/POP5/ELP5/TYW5/LAGE3/DTWD1/PTCD1/OSGEP/RPP25L/DUS4L/METTL6/GTPBP3/RPP38/POP4/CARS2/TRMT61A/MOCS3/TRMT2B/ALKBH1/ELAC2/GRSF1/RARS2/GTF3C2/TRMT10B/BRF1/ZCCHC7/DICER1/PUS1/GTF3C5/DTWD2/FARSA/SLFN13/URM1/AARSD1/MTFMT/LCMT2/TSEN15/IARS2/TRUB2/DUS2/ADAT3/EXOSC3/GTF3C4/FARSB/POLR3E/SARS2/SEPSECS/ELAC1/ELP1/TYW1/NARS2/NAT10/RPP30/TARBP1/TRMT11/TRMT13/ELP2/GTF3C6/RTRAF/GTF3C3/TPRKB/TSEN34/TRMT1/TRMT10A/PNPT1/QTRT1/RTCB
GO:0010498	GO:0010498	proteasomal protein catabolic process	445	0.312158540859714	1.82483493630905	8.79263988559465e-08	2.89588180702614e-05	2.57572627236831e-05	7235	tags=64%, list=47%, signal=35%	SPSB2/UBXN8/AURKA/PEX12/OSBPL7/TMEM129/FBXO6/BAG2/ANAPC1/MAP1A/FBXO22/TRIB3/NHLRC1/EDEM2/HFE/JKAMP/UBXN10/KLHL20/KCTD5/KLHL22/COP1/ANAPC7/UBE3D/AMN1/TRIM39/AXIN2/SHARPIN/PSMD10/KCTD10/ANAPC13/RNF5/GID8/ARRB2/BCAP31/ANKZF1/MAN1B1/PSMD4/CDC20/CLGN/STYX/WFS1/UBR2/UCHL5/FAM8A1/KLHDC3/GET4/UBE4B/ANAPC4/ENC1/FEM1A/DERL2/BFAR/CUL4A/PLK1/DNAAF4/SKP2/FOXRED2/ERLIN1/SPSB3/DCAF12/TMEM67/FBXL8/DVL1/EDEM3/KLHDC10/UBXN11/KBTBD7/ZFAND2B/UBQLN4/PITHD1/RCN3/SOCS5/CDC27/RMND5B/PEX10/UBXN6/TMUB2/APPBP2/PML/FBXL3/DESI1/DCAF13/RBCK1/VHL/MTM1/CCAR2/TMTC3/PSMD3/RNF4/NHLRC3/CUL4B/AXIN1/NSFL1C/MAPK9/UBAC2/FBXO44/XPO1/MAEA/PRKN/PSMD11/UBR1/TOR1A/KLHL42/PSMD14/RNF14/RNF126/F8A1/NPLOC4/KLHDC2/PINK1/DDRGK1/UBE2A/NR1D1/FBXL20/BAG5/RNF121/SYVN1/FBXO4/WWP1/ERLIN2/NUPR1/SH3BGRL/FBXL4/APC/PSMF1/KCTD17/RNF34/SHH/UBE2G1/DNAJB9/HM13/PLAA/SUMO1/MDM2/NUDT15/TRIM21/TRIM2/PSMA4/FBXW5/RNF185/TRIM38/PSMA1/KEAP1/NUB1/RNFT1/PPP2R5C/HSPA1A/PSMC5/HSPBP1/SVIP/MTA1/TLK2/USP14/PSMB5/TRIM25/CDC16/USP13/WDR26/FBXO2/CALR/FBXO7/UFL1/PSMC2/PSMC6/TRIP4/DAB2/OS9/CEBPA/CDC26/DDIT3/FHIT/FBXL18/PSMB4/TRAF4/AMFR/CBFA2T3/CANX/HSPA5/RNF139/SIAH1/USP9X/FBXO38/AGAP3/TMUB1/CCDC47/CAMLG/GCLC/ANKRD9/APOE/HECTD1/ANAPC10/FBXO48/ARRB1/ATF6/HSPA1B/EIF3H/AQP11/PSMD13/RAD23B/HERC2/BAG6/RNF144A/PSEN1/RHBDF1/FEM1B/PSMC1/VCP/PSMB8/MAN1A2/PSME3/GABARAPL2/TAF9/UBE2J2/SIRT6/DNAJC10/NCCRP1/SDF2L1/FBXL15/FBXL22/STUB1/SPSB1/SKP1/ZYG11B/FBXW11/FBXO45/KLHL15/KLHDC1/PRKACA/ANKIB1/RACK1/PSMB3/KCTD2/RNF103/DERL1/PSMD1/DCAF11/KCTD13/OPHN1/PSMB1/UBXN4/ARIH2/ASCC2/FBXW4/AUP1/UBB/HERPUD1/UBQLN1/KLHL3/SOCS4/WWP2/DDB1/RAD23A/KAT5/USP5/ZER1/CDC23/PSMD12/PRPF19/FBXL6/SIRT2/SH3RF3/NAGLU/PARK7/HECTD3/ANAPC5/PSMC3/CHFR/UBE2S/CUL1/ERCC8/PSMB7/UBXN2A/UBE2D3/CUL2/CSNK1D/ANAPC11/PKD1/PCBP2/UBE2J1/UBE2D1/UBQLN2/TMEM259/ARAF/GIPC1
GO:0140053	GO:0140053	mitochondrial gene expression	141	0.401190464510722	2.08312304259551	3.14201197172201e-07	9.75586961051397e-05	8.67730499381311e-05	5872	tags=58%, list=38%, signal=36%	RMND1/GATB/TEFM/PPARGC1B/MTG2/TARS2/FASTKD1/MRPS34/NSUN3/FASTKD5/EARS2/TRMT61B/TACO1/DARS2/MTERF3/TRIT1/MRPL49/QRSL1/YARS2/MRPS2/MRPL40/MRPL38/MRPL10/TUFM/MRPL44/PTCD1/MRPL48/MRPS35/MRPS7/MRPS10/FASTK/MRPL39/MRPL28/MRPL4/MRPL19/ALKBH1/ELAC2/MRPS15/RARS2/MRPL30/UQCC2/MRPS18B/MRPS9/MTERF1/THAP11/MRPS14/MRPL58/MTIF3/PUS1/MRPS26/FASTKD3/MALSU1/MTERF2/MRPL16/TFB2M/IARS2/MRPS11/TRUB2/MTRF1/MRPS5/MRPL24/MRPL18/MRPS27/MTG1/MRPS23/MTRF1L/SARS2/C1QBP/MRPL2/CHCHD1/GFM1/SHMT2/FASTKD2/MRPS12/RPUSD3/MTIF2/MRPL13/TFB1M/MRPL27/MRPL9/LRPPRC/TSFM
GO:0044057	GO:0044057	regulation of system process	404	-0.228597752209132	-1.77136487161324	3.31061837113351e-07	9.75586961051397e-05	8.67730499381311e-05	3687	tags=37%, list=24%, signal=29%	HSPB7/ADORA3/CASQ2/RYR2/ADRA2B/INHA/CAV3/OXTR/AGTR1/FGB/CRHBP/PLN/CAMK2B/KCNE5/APLN/AVPR2/CACNB2/CACNA1C/KCNA1/KCNA5/NOS1/CACNA1H/MYOCD/WNK4/GJC1/MYL4/TBX2/GALR1/REM1/GATA5/ATP1A3/HRC/SHANK3/PTGER3/CASQ1/RGS4/TNNI1/MYL3/PROK2/CASR/ADRA2C/CORIN/TRPC3/FGF10/TIFAB/NMUR2/CHRM2/NLGN4X/NLGN3/CHRNA2/MYBPC3/HTR2A/SLC8A3/CHRNA3/ATP2A1/STX1B/CBLN1/KCNH6/SCN4A/CACNG1/GRIN2C/EDN3/HAMP/MAG/ADCY10/ABCG8/ATP2B2/SCN5A/IGSF11/SHOX2/ADRA1B/TBX18/GRM1/GATA4/OPRK1/CRH/KCNB2/GAL/CYP19A1/HCN4/ASIC2/CACNA1G/ADRA1D/MLIP/ADRA1A/DBH/CSRP3/ACTN3/GRIN2B/CUX2/RIMS2/FTO/DLG4/NR4A3/EHD3/HBEGF/GRIK2/CYP2J2/ACE2/ZC3H12A/PIK3CG/CRY1/UCN/PKP2/GSTM2/ATP1A2/TNR/CHRNA7/NMU/CACNA2D1/PLCE1/HRH1/GCH1/SMAD7/PTGS2/FKBP1B/NOS1AP/KCND2/TNNC1/APOA1/GRIN1/ADRA2A/P2RX1/FGA/SCT/TNNT3/NLGN1/FABP5/TACR1/GPR35/TRIM63/CST7/NKX3-1/KCNE1/TSHZ3/FGF12/IGF1/BDKRB2/BMP6/KCNIP2/ADM5/ABCC9/NRXN1/INHBA/EDNRB/KCNJ2/MYLK2/SLC8A2/TMEM100/KCNMB2/PTAFR
GO:0051606	GO:0051606	detection of stimulus	207	-0.277505044017753	-1.95114012914775	4.25286658868186e-07	0.000119059000150149	0.000105896378058178	3660	tags=49%, list=24%, signal=38%	CASQ2/NTRK1/RYR2/OR2L2/CAV3/OR5H14/PKD1L1/OR2A25/OR52I1/OR52N4/KCNA1/P2RX2/SLC24A4/NR2E3/LPO/CST2/SSC5D/TAS1R3/COL11A1/OR6N1/SAG/CASR/TRPC3/CDHR2/OR8A1/OR13A1/HTR2A/OR10H5/RGS9BP/TAS1R1/CA6/GPR88/OR10K1/GPR52/OR2B11/RTP5/RTP2/NPFFR2/OR2I1P/OR2A7/PPEF1/TRPA1/TMC1/PRDM12/OR52K1/OR52A1/OR51B5/OR51M1/OR52H1/OR56B1/OR2AG2/OR6A2/OR5AS1/KCNK4/OR8G5/PDE6C/TAS2R10/TAS2R13/TAS2R50/TAS2R20/TAS2R46/OR6C75/GRK1/PKD1L3/OR1A1/AIPL1/ASIC2/LBP/OR7C1/PGLYRP2/OR10H1/PKDREJ/CHRNA9/OR14J1/TAS2R5/OR5P3/CSRP3/CLEC6A/RCVRN/OR7G2/RP1/NLRP3/AZGP1/GRIK2/OR10G3/CCDC66/EPHB1/OR52N1/OR1I1/CACNB4/OR7A17/TCAP/OR5P2/TACR1/PIEZO2/CHRNA10/KCNIP2/ANO1/OR3A3/FFAR4/KCNMB2
GO:0007187	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	34	-0.558731487181383	-2.62794609376469	1.10338643713754e-06	0.000280811848251503	0.000249766566224769	4872	tags=85%, list=32%, signal=58%	CCR1/HTR1F/HRH2/CHRM3/ANXA1/CNR1/AGTR2/DRD4/VIPR1/MC1R/HTR2B/PTH1R/NPY1R/HTR4/OPRM1/ADRB3/SSTR1/CNR2/CHRM2/CHRM1/HTR2A/OPRD1/LHCGR/XCR1/HTR7/PTGIR/HRH1/DRD1/CCL2
GO:0006936	GO:0006936	muscle contraction	270	-0.2494392515907	-1.79202293522522	1.08948758568602e-06	0.000280811848251503	0.000249766566224769	3660	tags=39%, list=24%, signal=30%	CASQ2/LMOD1/RYR2/ADRA2B/HTR2B/NMUR1/CAV3/OXTR/SGCD/PLN/KCNE5/CACNB2/CACNA1C/KCNA1/KCNA5/TBX3/NOS1/P2RX2/CACNA1H/MYH1/MYOCD/STAC2/GJC1/MYL4/TBX2/REM1/HRC/UTS2/PTGER3/CASQ1/TNNI1/KLHL41/MYL3/PROK2/ADRA2C/TIFAB/NMUR2/CHRM2/MYBPC3/HTR2A/SLC8A3/CHRNA3/ATP2A1/SCN4A/CACNG1/EDN3/ADCY10/ACTA1/GRIP2/SCN5A/GDNF/ADRA1B/GATA4/KCNB2/HTR7/HCN4/CACNA1G/ADRA1A/CSRP3/ACTN3/VEGFB/KCNMA1/EHD3/SULF2/TNNI2/ARG2/SCN7A/ACE2/ZC3H12A/PIK3CG/APBB2/UCN/PKP2/GSTM2/ATP1A2/NMU/CACNA2D1/PLCE1/P2RX6/SMAD7/PTGS2/FKBP1B/NOS1AP/KCND2/TNNC1/ADRA2A/P2RX1/TCAP/TNNT3/PGAM2/TACR1/TRIM63/KCNE1/FGF12/DRD1/LMOD3/BDKRB2/KCNIP2/MYLK/CRYAB/ABCC9/EDNRB/KCNJ2/MYLK2/PTAFR
