p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RPS25	2.77432689061085e-18	-0.992369594104428	0.817	0.916	6.20284006202774e-14
LRRC4	4.44996797464911e-18	-2.96180997268851	0.03	0.29	9.94923839772048e-14
CYP2F1	5.4232899023716e-18	-2.47598953188045	0.055	0.348	1.21253915637224e-13
FLRT3	8.12424251635515e-18	-1.33495504369954	0.087	0.419	1.81641814180668e-13
AKR1C1	1.0056322601871e-17	-1.67450307774307	0.153	0.516	2.24839260732632e-13
CCL20	1.01406696538075e-17	-4.08661283222273	0.063	0.348	2.26725092119828e-13
MORF4L2	1.3516069053556e-17	2.02330768322477	0.702	0.497	3.02192271899404e-13
SEPHS2	1.62911808125292e-17	3.09721551354498	0.571	0.245	3.64238220606528e-13
GSTA4	1.92655174151804e-17	2.69265212421207	0.544	0.187	4.30738438368603e-13
NQO1	3.52885107391506e-17	2.53755182256622	0.467	0.084	7.88980523105928e-13
CSF3	3.57875858731259e-17	-4.61537366243574	0.008	0.213	8.00138844951348e-13
EPCAM	4.51879393426894e-17	1.56879367356563	0.79	0.69	1.01031194782385e-12
NAMPT	5.30059752037021e-17	-2.2218960884853	0.317	0.626	1.18510759360437e-12
RAMP1	6.28499405973159e-17	2.60292233780399	0.489	0.123	1.40519897187479e-12
HLA-DQB1	9.16704499801342e-17	1.90073438621154	0.713	0.51	2.04956792065584e-12
SLC34A2	1.04764014715793e-16	1.37071983852258	0.806	0.594	2.3423138410157e-12
THBS4	1.99080126850151e-16	5.67056470875573	0.374	0.026	4.45103347611567e-12
RACK1	2.07624992506753e-16	0.832705545696969	0.891	0.903	4.64207958246598e-12
CETN2	2.47562850344484e-16	3.00138702104844	0.574	0.271	5.53501020800198e-12
SPINT2	3.18656437106807e-16	1.20965740309237	0.792	0.703	7.12452062083399e-12
ASRGL1	3.43874752028225e-16	2.56686260944386	0.407	0.045	7.68835170584705e-12
PSAP	3.5453861132184e-16	1.49921760688115	0.79	0.658	7.9267742719337e-12
CTSD	3.75697609200051e-16	1.26840643579417	0.831	0.69	8.39984714649474e-12
RND1	4.1467574874548e-16	-2.75098416535461	0.09	0.381	9.27132039045145e-12
HLA-DMB	4.18313604289455e-16	2.4649267095793	0.546	0.213	9.35265556470363e-12
RPL29	5.35620538123328e-16	-0.717929723657466	0.874	0.923	1.19754039913614e-11
TUFM	7.44876146184702e-16	1.95371021976788	0.65	0.432	1.66539408763976e-11
SRP9	7.49503571336579e-16	1.96383867315837	0.691	0.503	1.67574008479432e-11
ALDH1A3	9.0656930618775e-16	-2.48593898786623	0.049	0.31	2.02690765477457e-11
NINJ2	9.77829612584849e-16	4.72686530770604	0.399	0.058	2.18623144781720e-11
RPS10	1.08551151545534e-15	-1.73343088865012	0.574	0.735	2.42698664625506e-11
ARHGDIB	1.24738985681682e-15	2.06534091488846	0.697	0.548	2.78891424187105e-11
PPP1R1B	1.41416499326104e-15	2.73820676307649	0.443	0.097	3.16179009193303e-11
SMPDL3A	1.4215626453801e-15	2.4657545013155	0.393	0.045	3.17832976254082e-11
TMED9	1.61485468552625e-15	1.80147119838819	0.689	0.497	3.61049210589959e-11
CEBPD	1.66117096577904e-15	-1.37554161736349	0.571	0.761	3.71404604528878e-11
ITPKC	1.66984228447468e-15	-2.45593579540147	0.139	0.445	3.73343337962849e-11
HLA-DPB1	1.80217770604727e-15	1.67020233978469	0.801	0.742	4.02930891518049e-11
RGCC	2.5934655687657e-15	-3.11606226497924	0.117	0.413	5.79847031864636e-11
PHYHD1	2.6766045119346e-15	-2.59946863360314	0.063	0.335	5.98435236778337e-11
TCEAL8	3.06261833985342e-15	1.69610375860925	0.631	0.381	6.84740208424427e-11
JTB	3.16439830813381e-15	1.74591758311837	0.702	0.535	7.07496173732558e-11
MVP	3.6472708048811e-15	2.01446633933516	0.667	0.419	8.15456806555316e-11
HLA-DQA2	3.83310632858829e-15	2.48015472987796	0.495	0.148	8.5700591294577e-11
JUND	4.32160377968793e-15	-1.63355548374574	0.514	0.723	9.66224173062626e-11
TNFRSF12A	4.93877637968831e-15	-1.67642917217521	0.221	0.555	1.10421162297071e-10
CX3CL1	8.2427629499677e-15	-2.27544773116193	0.085	0.361	1.84291694035378e-10
PGK1	8.46030994933582e-15	1.98560371133516	0.694	0.535	1.8915560984725e-10
RPL17	9.6915004181216e-15	-2.06243838502703	0.328	0.619	2.16682566348363e-10
AGPAT2	1.0357710381896e-14	2.48264210206994	0.56	0.284	2.3157768871843e-10
APOD	1.07280307129717e-14	2.32970626772861	0.623	0.335	2.39857310680622e-10
ACSL5	1.35525690759109e-14	2.05569014558516	0.568	0.284	3.03008339399216e-10
RPL14	1.59799466587524e-14	-0.757041462886815	0.858	0.923	3.57279647396387e-10
SLC39A8	1.78006383235146e-14	2.63590120271195	0.525	0.206	3.97986671637139e-10
SDHC	1.86263691843308e-14	1.59056886285611	0.634	0.439	4.16448362223269e-10
ANXA4	2.47888871460014e-14	1.8575328390195	0.683	0.51	5.54229938810299e-10
HLA-DMA	2.6206173292993e-14	1.88657670929132	0.669	0.471	5.85917622484737e-10
SCPEP1	2.7994695802221e-14	2.13911200951449	0.667	0.477	6.25905408746056e-10
P4HB	2.82236894797286e-14	1.25927340958778	0.762	0.639	6.31025249387772e-10
PLA2G10	2.94109422749596e-14	3.72858690629508	0.432	0.116	6.57569847383547e-10
LGSN	3.09439078890717e-14	5.21799150619111	0.322	0.013	6.91843892583866e-10
MGLL	3.92477398332623e-14	1.66672857608376	0.62	0.297	8.77500967192078e-10
CALR	3.99004180581823e-14	1.17169025553562	0.727	0.548	8.92093546944839e-10
SCP2	4.33923502848882e-14	1.53193308458973	0.689	0.523	9.7016616766953e-10
HSPA1A	4.4969230154136e-14	1.23056688634775	0.773	0.613	1.00542204778617e-09
DUSP5	4.80146029163253e-14	-2.05757332183236	0.063	0.316	1.0735104920032e-09
MRPS34	4.87871942270255e-14	2.88561838975591	0.516	0.226	1.09078408852784e-09
PEG10	5.47641457760137e-14	-3.67915639765978	0.027	0.232	1.22441677126011e-09
MALL	5.4904402866143e-14	1.82719337360258	0.71	0.568	1.22755263928122e-09
PRSS8	6.15045232335653e-14	1.92003014077916	0.653	0.445	1.37511813045605e-09
FCGRT	7.49112546215659e-14	1.72379648570579	0.675	0.529	1.67486583082897e-09
MAFF	7.7201945574051e-14	-1.75592837432798	0.194	0.49	1.72608109914463e-09
HLA-DQA1	7.79221088997302e-14	1.71001560514703	0.664	0.432	1.74218251078017e-09
C9orf152	8.48512720874857e-14	2.54466436138723	0.374	0.058	1.89710474133201e-09
ZBED5-AS1	9.44352728402814e-14	3.77038346868308	0.407	0.097	2.11138383016301e-09
AHR	1.12113181809458e-13	-1.65836959739748	0.208	0.523	2.50662651889587e-09
UPK3B	1.19449027351939e-13	-2.11876990702936	0.016	0.2	2.67064135353466e-09
LAPTM4A	1.28745056869218e-13	1.35354268242545	0.762	0.658	2.87848198148197e-09
LOX	1.58262144870661e-13	-4.48622258024549	0.011	0.181	3.53842503501823e-09
CXCL8	1.68367343033827e-13	-3.01231535885539	0.309	0.568	3.76435705555031e-09
ISCU	1.78364382092386e-13	1.7323586050573	0.653	0.458	3.98787085482157e-09
PEBP1	2.32339051665917e-13	1.0808253921378	0.787	0.665	5.19463651714658e-09
GPR160	2.70137517833836e-13	3.03167260728736	0.519	0.252	6.03973462372891e-09
SYNGR2	2.73637193197947e-13	1.87948348253701	0.653	0.484	6.11798036551969e-09
ADIRF	2.8439644512255e-13	-1.44683754375636	0.527	0.748	6.35853572004997e-09
TXNDC12	2.91989733617721e-13	3.18074728510661	0.486	0.206	6.528306464225e-09
RAB20	2.96384992843435e-13	3.29176916284624	0.462	0.168	6.62657566999353e-09
CD63	3.06651160313672e-13	0.741213630686072	0.899	0.845	6.85610664229308e-09
PLS3	3.2812173788604e-13	2.36583279968632	0.541	0.252	7.33614581565607e-09
SDC4	4.57096792184056e-13	-1.57487755148623	0.568	0.742	1.02197700796511e-08
ATP6V0E1	5.46312962751774e-13	1.14111410759317	0.768	0.639	1.22144652212042e-08
BDKRB2	5.60680444997835e-13	-3.00127375370414	0.016	0.194	1.25356933892616e-08
NPM1	5.66023509240153e-13	0.999683743575091	0.817	0.748	1.26551536195913e-08
TXNIP	6.5606109879717e-13	1.38664213577055	0.721	0.452	1.46682140469071e-08
AC016831.1	6.80764087880306e-13	-4.83688993792554	0.014	0.181	1.52205234768279e-08
ENSA	7.92685094985712e-13	1.57172576216284	0.683	0.535	1.77228533536905e-08
WWTR1	8.14493178900157e-13	-1.31510544377084	0.227	0.529	1.82104384938497e-08
NCOA7	8.60041874704617e-13	-1.79692952477438	0.475	0.684	1.92288162346458e-08
SNHG25	8.62938436487301e-13	2.19121902366166	0.582	0.355	1.92935775629831e-08
ARV1	1.11104420013775e-12	2.59459129022541	0.418	0.129	2.48407262266798e-08
SGCE	1.14374918972951e-12	-2.2095357548046	0.044	0.258	2.55719443839724e-08
ABCC3	1.15763823613293e-12	2.54759692102819	0.451	0.142	2.58824756834599e-08
ACKR3	1.35831193841036e-12	-3.85355032339896	0.022	0.2	3.03691383189788e-08
GPNMB	1.79600614527191e-12	2.83594036754483	0.333	0.045	4.01551053959893e-08
RPS21	1.99276029203739e-12	-0.84199804633681	0.79	0.845	4.45541346093719e-08
ENO1	2.2216403329261e-12	1.24149302451356	0.781	0.677	4.96714345635618e-08
RARRES2	2.28489216414914e-12	-1.54558347543777	0.06	0.29	5.10856190060465e-08
TMCO1	2.29785242001982e-12	2.08543677880159	0.628	0.477	5.1375384406803e-08
GLO1	2.34712878501944e-12	2.58051029321319	0.541	0.297	5.24771053754646e-08
CXCR4	2.48109587897491e-12	1.01998964734686	0.579	0.29	5.54723416621211e-08
TMED2	2.66224851463173e-12	1.37936149155393	0.691	0.548	5.95225522901363e-08
RPL21	2.7048164412411e-12	-0.970495822456653	0.861	0.923	6.04742859932686e-08
PRDX1	2.7453653848327e-12	1.1154872762402	0.79	0.684	6.13808792740894e-08
RHOV	3.06050527088922e-12	-1.57242123364896	0.109	0.381	6.84267768465413e-08
SNX3	3.16885231691771e-12	1.71127651288721	0.642	0.477	7.08492001016461e-08
KRT4	3.38818920702423e-12	-2.73428374694794	0.046	0.258	7.57531342906478e-08
ARL2BP	4.83249525685479e-12	2.21867712086587	0.459	0.168	1.08044928952759e-07
SERPINF1	4.96156475850394e-12	-0.698881535072611	0.12	0.406	1.10930664870631e-07
SCTR	5.0527349036786e-12	1.62285670948062	0.295	0.019	1.12969046976446e-07
FMO2	5.32462161309192e-12	-2.60427522522062	0.079	0.31	1.19047890025509e-07
FUCA1	5.42829891284456e-12	2.50599940148128	0.527	0.297	1.21365907093379e-07
MBIP	5.45074405674754e-12	1.38845938801591	0.678	0.49	1.21867735620762e-07
PLD3	5.68048637541893e-12	1.40370138133521	0.653	0.471	1.27004314381617e-07
SLC25A5	5.74036221494794e-12	1.29558399336286	0.76	0.671	1.28343018401806e-07
GGTLC1	6.48153083990559e-12	2.56612237345155	0.402	0.116	1.44914066518609e-07
CTSB	6.97501174659091e-12	1.39262547142747	0.702	0.587	1.5594731263028e-07
ACSM3	7.05925950602112e-12	3.52176509664127	0.328	0.052	1.5783092403562e-07
TFRC	7.49397453303088e-12	-1.23373382075264	0.101	0.361	1.67550282609505e-07
KDELR1	8.20989308165249e-12	1.55830152441312	0.631	0.458	1.83556789519586e-07
SARAF	8.66915338339887e-12	1.4712132711632	0.697	0.594	1.93824931346032e-07
HOXD1	1.02249893918106e-11	4.5472013690457	0.328	0.058	2.28610312822101e-07
CLDN3	1.12832298699286e-11	1.57582870405907	0.653	0.432	2.52270453431864e-07
AC007952.4	1.34220092385628e-11	-2.44941822684012	0.046	0.245	3.00089282555787e-07
KRTCAP3	1.45081890197037e-11	1.90966243921159	0.563	0.342	3.24374090102536e-07
CSRNP1	1.56389254324051e-11	-1.80310108844023	0.18	0.452	3.49655094817712e-07
FOSL1	1.59553212386831e-11	-1.87250695987114	0.022	0.194	3.56729072254476e-07
FABP4	1.67602998482286e-11	-2.77999718253567	0.044	0.239	3.74726784006696e-07
BFAR	1.83658399925466e-11	2.03790520435792	0.503	0.258	4.10623450553357e-07
ANOS1	1.91068627515846e-11	-1.6347230288439	0.046	0.245	4.27191237399928e-07
A1BG	1.9804068330363e-11	-0.642669348846004	0.014	0.168	4.42779359730256e-07
CIT	1.99072359200762e-11	2.11131594027787	0.514	0.245	4.45085980701065e-07
KDM6B	2.14414523474876e-11	-1.03921537864713	0.161	0.439	4.79387991585127e-07
SSR4	2.18969154446259e-11	0.974421318855539	0.806	0.697	4.89571235510946e-07
TSPAN13	2.20260438066239e-11	1.51584537049384	0.639	0.452	4.92458287428497e-07
KRT17	2.24168729941278e-11	-1.5540006178473	0.101	0.348	5.01196446402709e-07
UBB	2.32600392716257e-11	0.751556159135841	0.861	0.865	5.20047958035008e-07
LGMN	2.63941332112829e-11	1.9549729364053	0.525	0.284	5.90120030337863e-07
TFPI2	2.76281647153588e-11	-1.8649724005438	0.082	0.31	6.17710506705991e-07
MUC4	2.7938279869225e-11	-2.10188051030919	0.178	0.439	6.24644061316132e-07
HPN	2.82613374889624e-11	3.23540753119682	0.314	0.045	6.31866983578221e-07
ADH5	2.9076146246237e-11	2.70907147823022	0.536	0.316	6.50084477773368e-07
NUCB1	3.01092253129887e-11	1.75195708825619	0.587	0.368	6.73182059547802e-07
IL6	3.09539842103941e-11	-4.23357273019155	0.011	0.155	6.92069178975991e-07
ANXA1	3.10008753420335e-11	-0.828036200970462	0.503	0.748	6.93117570897185e-07
CYP4B1	3.59509775385871e-11	-1.11790056905836	0.484	0.723	8.03791955807731e-07
HSD17B6	3.62297735870272e-11	1.45925554022324	0.47	0.168	8.10025277858754e-07
CLDN7	4.15132861057377e-11	1.36903599696636	0.702	0.568	9.28154050752084e-07
BNIP3	4.20563396451567e-11	1.7394298163216	0.541	0.31	9.40295641786414e-07
FLNA	4.3215996945804e-11	1.45439641156207	0.574	0.329	9.66223259714286e-07
ANKRD28	5.05571565044729e-11	-1.01231520159467	0.093	0.329	1.130356905127e-06
PLCG2	5.57127962785899e-11	-2.35364269310486	0.104	0.335	1.24562669919671e-06
TIPARP	5.57725564756612e-11	-1.38440885255789	0.175	0.432	1.24696281768283e-06
ARF1	6.01102189671129e-11	1.20035584769241	0.716	0.626	1.34394427566671e-06
MET	6.46887219009998e-11	-0.584314963403756	0.224	0.516	1.44631044426255e-06
PDIA6	6.67413283040101e-11	1.16477846227626	0.689	0.581	1.49220261822106e-06
SEZ6L2	6.74815851101934e-11	2.35695202163434	0.377	0.11	1.5087532798937e-06
SMIM22	6.80861403872727e-11	1.83910999688361	0.628	0.503	1.52226992677864e-06
HHLA2	6.81445534004427e-11	4.85436005741938	0.265	0.019	1.5235759249271e-06
PTGFR	6.97941028917015e-11	-2.84743900568648	0.016	0.168	1.56045655245266e-06
HAGLR	7.7495957558131e-11	1.26088361279887	0.303	0.039	1.73265461908469e-06
KIAA1324	8.08448690811861e-11	-1.26768658656504	0.202	0.477	1.80752958291716e-06
SRD5A3	8.28438591784569e-11	3.29146455490143	0.413	0.161	1.85222300351194e-06
VEGFA	1.01287818650911e-10	-1.15298153819569	0.205	0.471	2.26459304939706e-06
RHOBTB3	1.03250380737476e-10	-0.987896404474871	0.186	0.465	2.30847201252849e-06
PEBP4	1.08550389668273e-10	1.38680109868954	0.489	0.194	2.42696961220325e-06
SULT1A1	1.10527858996494e-10	1.86238492525083	0.388	0.116	2.47118187144362e-06
CTNNAL1	1.12770378706856e-10	-2.42125049022332	0.038	0.219	2.52132012712788e-06
NCKAP5	1.15424829980861e-10	-3.13166058322914	0.025	0.187	2.58066834871209e-06
PPT1	1.17599780689783e-10	2.04975535802062	0.432	0.181	2.62929589666216e-06
GSTA1	1.18164557759097e-10	-1.06979385927621	0.221	0.51	2.64192318237789e-06
MAST4	1.20688457285909e-10	-0.728533967124715	0.199	0.49	2.69835252799835e-06
RPS17	1.21207576872748e-10	-1.57137027231624	0.615	0.748	2.7099590037209e-06
CTSL	1.29832571542251e-10	2.42537830086944	0.432	0.168	2.90279663454166e-06
TCEAL1	1.33748072645387e-10	3.91103026742809	0.352	0.103	2.99033940820557e-06
CDIPT	1.36218400374353e-10	2.0512824273468	0.459	0.206	3.04557099556979e-06
SMC4	1.36240416001566e-10	2.59812579698474	0.423	0.174	3.04606322096302e-06
PRR13	1.53295101650903e-10	1.51061278463386	0.615	0.394	3.42737188271089e-06
HSD17B11	1.54780780766851e-10	1.90650985932107	0.601	0.406	3.46058869638526e-06
ALDH9A1	1.60841986920947e-10	2.65591565839641	0.503	0.29	3.59610514357853e-06
BMPR1B	1.62468844323242e-10	-2.30917591803616	0.052	0.245	3.63247842137905e-06
TXNDC17	1.63745820032397e-10	1.45649458798136	0.68	0.542	3.66102904428434e-06
HOPX	1.68947463557684e-10	0.751860604965163	0.836	0.729	3.7773273902227e-06
LDOC1	1.69429462053891e-10	3.03267050187442	0.38	0.129	3.78810391260089e-06
CLPTM1L	1.6945659809879e-10	2.56554476525602	0.44	0.187	3.78871062029275e-06
AC129507.4	1.7490056140901e-10	6.10103376281569	0.224	0	3.91042675198265e-06
FAM129A	1.856203450736e-10	-1.26388493983997	0.117	0.361	4.15009967515554e-06
H3F3A	2.02862800904979e-10	0.634735920175306	0.883	0.852	4.53560650263352e-06
LSM2	2.09100555940427e-10	1.79184593637168	0.47	0.213	4.67507022971608e-06
RAB5C	2.17349092532972e-10	1.56670053689095	0.579	0.406	4.85949101085219e-06
TMEM98	2.21634327301656e-10	2.07084351450492	0.527	0.316	4.95530028981043e-06
TMEM37	2.70774441832723e-10	3.07677620741597	0.273	0.032	6.05397497049601e-06
AKR1C2	2.71091325413186e-10	-2.95820518245873	0.025	0.181	6.06105985358801e-06
CD52	2.78084724001171e-10	-2.00874097496463	0.107	0.342	6.21741825921818e-06
CCDC68	2.79271085354572e-10	-2.02660841171578	0.03	0.194	6.24394292635751e-06
AL162511.1	2.88474236074452e-10	2.69557070507054	0.41	0.155	6.4497069701526e-06
MIR22HG	2.96669401658403e-10	-1.91116573925851	0.142	0.394	6.63293448227858e-06
HLA-E	3.75730003828721e-10	1.16558560814343	0.724	0.626	8.40057142560253e-06
CCL2	3.81540539500142e-10	-3.42581857570176	0.082	0.284	8.53048338214416e-06
LMAN2	3.92658295860151e-10	1.38159018717605	0.648	0.542	8.77905417884126e-06
BCKDK	3.97787576811776e-10	1.6244692360219	0.404	0.155	8.89373464235768e-06
KLK10	4.00046139295067e-10	-1.87420029575174	0.158	0.4	8.9442315823591e-06
NUPR1	4.16709547094586e-10	1.37194692304034	0.631	0.445	9.31679205394075e-06
CCNDBP1	4.19106896537747e-10	2.57178619650407	0.451	0.206	9.37039199279095e-06
HILPDA	4.2131331189981e-10	-3.52418064435409	0.06	0.245	9.41972302745596e-06
PMVK	4.35074630907934e-10	2.48754195886753	0.5	0.277	9.72739859783958e-06
SELENBP1	4.59236356542829e-10	1.2967127058901	0.661	0.555	1.02676064595846e-05
ALDH3A1	5.00286506047187e-10	3.20446194552695	0.344	0.09	1.1185405702203e-05
DEPTOR	5.72863826561975e-10	2.08597716143203	0.317	0.071	1.28080894342726e-05
SPSB2	5.74553988601154e-10	4.65926878983211	0.262	0.032	1.28458780771446e-05
FOSB	5.83372076813102e-10	-1.28881590710878	0.497	0.69	1.30430328933873e-05
ADGRF1	6.45538193353604e-10	3.55779976469555	0.333	0.09	1.44329429269999e-05
TCEAL4	6.97466318648132e-10	1.67205236198483	0.62	0.465	1.55939519523349e-05
RASSF9	7.51912723690049e-10	-1.50101151280824	0.09	0.31	1.68112646762621e-05
COLCA1	8.18747280330687e-10	-0.754539515418212	0.164	0.426	1.83055516936335e-05
BSG	8.23549987072946e-10	1.14500808083944	0.694	0.555	1.84129306109769e-05
SECISBP2L	8.37850165902004e-10	-1.85083166914665	0.145	0.394	1.8732654009237e-05
JPT1	8.86774863926044e-10	1.51812472582027	0.495	0.252	1.98265124076585e-05
SIK2	9.67943752456335e-10	-2.13263405738252	0.06	0.252	2.16412864174187e-05
MT-ND4	9.77133878323836e-10	0.691275144162841	0.88	0.91	2.18467592515643e-05
SMPDL3B	9.81218239823025e-10	3.81295352449726	0.311	0.077	2.19380774059632e-05
WEE1	1.08228906185579e-09	-1.23653022312406	0.123	0.355	2.41978188449719e-05
TIMP1	1.31537307052811e-09	1.2620613257466	0.708	0.619	2.94091111108675e-05
ARL6IP1	1.34661077148877e-09	1.43012467431427	0.568	0.406	3.0107523628946e-05
C19orf81	1.40173932288764e-09	4.80963272859177	0.227	0.013	3.13400877811219e-05
NPNT	1.45199725516804e-09	-1.02560135751375	0.077	0.284	3.24637546310469e-05
ARPC5	1.46497213016942e-09	1.4919412326959	0.626	0.471	3.27538468863278e-05
NEDD4L	1.56946024143633e-09	-1.07449970931276	0.372	0.6	3.50899920780335e-05
TMEM219	1.59889226657893e-09	1.50139210736885	0.601	0.477	3.57480332961717e-05
NFIL3	1.59984716201079e-09	-1.9036758978816	0.09	0.297	3.57693828482373e-05
SCAMP3	1.70810537210492e-09	2.87261963425454	0.423	0.2	3.81898199095217e-05
FCER1G	1.76423856125455e-09	-1.37345903163314	0.117	0.348	3.94448457525293e-05
MRPS23	1.7774891459563e-09	1.12471714744862	0.473	0.252	3.97411023252911e-05
DDX21	1.77914006817491e-09	-1.25122440278881	0.311	0.555	3.97780136442547e-05
HIVEP2	1.81863731772572e-09	-1.36155319237561	0.098	0.316	4.06610931497116e-05
PFN1	2.03397006491165e-09	0.869728110723512	0.795	0.71	4.54755027112947e-05
TMEM106C	2.24056590080456e-09	2.75890877290015	0.317	0.077	5.00945724101883e-05
DEXI	2.25868564029465e-09	2.74669335536948	0.374	0.148	5.04996935457078e-05
CCL4	2.27139066998039e-09	-1.601909112792	0.161	0.413	5.07837525994216e-05
RAB25	2.30593305076796e-09	1.64719613219164	0.574	0.413	5.155605114907e-05
CYB5R1	2.38647607004615e-09	1.57911636534713	0.434	0.194	5.33568319740918e-05
UQCRC2	2.39477694657013e-09	1.64149069696275	0.546	0.381	5.35424229714149e-05
RCAN1	2.54892168097656e-09	-1.4209326955934	0.098	0.31	5.69887909432738e-05
OCIAD1	2.7199760074782e-09	1.56447015274313	0.623	0.484	6.08132235751976e-05
VBP1	2.74981860097098e-09	2.24197435094187	0.451	0.226	6.14804442805091e-05
TMEM125	3.04435632530542e-09	1.3852599988177	0.538	0.355	6.80657187211785e-05
MTRNR2L12	3.31650876666188e-09	-2.70170667114602	0.377	0.568	7.41505030050264e-05
GSTA2	3.42332249271421e-09	-2.23015142274135	0.022	0.161	7.65386442921043e-05
SLC38A10	3.4914230124326e-09	2.31375919963742	0.456	0.252	7.80612357119682e-05
BCAT2	3.52766167903557e-09	2.21937640358593	0.361	0.123	7.88714598198774e-05
HS3ST1	3.61702717132585e-09	-1.12119445026967	0.142	0.368	8.08694934965034e-05
CAPG	3.72709322839003e-09	1.5245990628517	0.508	0.303	8.33303504003443e-05
MMP24OS	3.78940044281979e-09	1.1799620276033	0.585	0.426	8.47234151005649e-05
SAV1	3.98062847756984e-09	-1.27859796749187	0.186	0.426	8.89988915015065e-05
POLR3GL	4.05021327278858e-09	2.58258953150005	0.407	0.187	9.05546683530071e-05
FAH	4.09640287353481e-09	3.25250825994747	0.306	0.077	9.15873754464913e-05
BNIP3L	4.14057131474766e-09	1.58634116870844	0.574	0.419	9.25748934551282e-05
